match_id  home_team_id  away_team_id  tournament_id  location_id  match_date  home_score  away_score  match_status
--------  ------------  ------------  -------------  -----------  ----------  ----------  ----------  ------------
1         1             2             1              1            1872-11-30  0           0           Completed   
2         2             1             1              2            1873-03-08  4           2           Completed   
3         1             2             1              1            1874-03-07  2           1           Completed   
4         2             1             1              2            1875-03-06  2           2           Completed   
5         1             2             1              1            1876-03-04  3           0           Completed   
6         1             3             1              1            1876-03-25  4           0           Completed   
7         2             1             1              2            1877-03-03  1           3           Completed   
8         3             1             1              3            1877-03-05  0           2           Completed   
9         1             2             1              1            1878-03-02  7           2           Completed   
10        1             3             1              1            1878-03-23  9           0           Completed   
11        2             3             1              2            1879-01-18  2           1           Completed   
12        2             1             1              2            1879-04-05  5           4           Completed   
13        3             1             1              3            1879-04-07  0           3           Completed   
14        1             2             1              1            1880-03-13  5           4           Completed   
15        3             2             1              3            1880-03-15  2           3           Completed   
16        1             3             1              1            1880-03-27  5           1           Completed   
17        2             3             1              4            1881-02-26  0           1           Completed   
18        2             1             1              2            1881-03-12  1           6           Completed   
19        3             1             1              3            1881-03-14  1           5           Completed   
20        4             2             1              5            1882-02-18  0           13          Completed   
21        3             4             1              3            1882-02-25  7           1           Completed   
22        1             2             1              1            1882-03-11  5           1           Completed   
23        3             2             1              3            1882-03-13  5           3           Completed   
24        1             3             1              1            1882-03-25  5           0           Completed   
25        2             3             1              2            1883-02-03  5           0           Completed   
26        2             4             1              6            1883-02-24  7           0           Completed   
27        2             1             1              7            1883-03-10  2           3           Completed   
28        3             1             1              3            1883-03-12  0           3           Completed   
29        4             3             1              5            1883-03-17  1           1           Completed   
30        4             1             2              5            1884-01-26  0           5           Completed   
31        3             4             2              3            1884-02-09  6           0           Completed   
32        4             2             2              5            1884-02-23  1           8           Completed   
33        1             2             2              1            1884-03-15  1           0           Completed   
34        3             2             2              3            1884-03-17  0           4           Completed   
35        1             3             2              1            1884-03-29  4           1           Completed   
36        2             4             2              8            1885-02-28  4           0           Completed   
37        2             3             2              4            1885-03-14  1           1           Completed   
38        1             4             2              1            1885-03-14  8           2           Completed   
39        2             1             2              2            1885-03-21  1           1           Completed   
40        3             1             2              3            1885-03-23  1           8           Completed   
41        4             3             2              5            1885-04-11  2           8           Completed   
42        5             6             1              9            1885-11-28  0           1           Completed   
43        3             4             2              3            1886-02-27  5           0           Completed   
44        4             2             2              5            1886-03-13  1           6           Completed   
45        4             1             2              5            1886-03-20  2           7           Completed   
46        1             2             2              1            1886-03-27  1           1           Completed   
47        3             2             2              3            1886-03-29  1           3           Completed   
48        1             3             2              1            1886-04-10  4           1           Completed   
49        5             6             1              9            1886-11-25  3           2           Completed   
50        2             4             2              7            1887-02-05  7           0           Completed   
51        1             4             2              1            1887-02-19  4           1           Completed   
52        2             3             2              2            1887-02-26  4           0           Completed   
53        4             3             2              5            1887-03-12  4           1           Completed   
54        2             1             2              4            1887-03-19  2           3           Completed   
55        3             1             2              3            1887-03-21  0           2           Completed   
56        2             3             2              10           1888-02-04  5           1           Completed   
57        3             4             2              3            1888-03-03  11          0           Completed   
58        1             3             2              11           1888-03-10  5           1           Completed   
59        1             2             2              1            1888-03-17  0           5           Completed   
60        4             1             2              5            1888-03-24  2           10          Completed   
61        4             2             2              5            1888-04-07  1           5           Completed   
62        1             6             1              1            1888-09-19  4           0           Completed   
63        2             3             2              12           1889-02-23  4           1           Completed   
64        2             4             2              6            1889-03-02  6           1           Completed   
65        1             4             2              1            1889-03-09  7           0           Completed   
66        2             1             2              2            1889-04-13  2           3           Completed   
67        3             1             2              3            1889-04-15  0           0           Completed   
68        4             3             2              5            1889-04-27  1           3           Completed   
69        3             4             2              13           1890-02-08  5           2           Completed   
70        4             2             2              5            1890-03-15  1           9           Completed   
71        3             2             2              3            1890-03-15  1           3           Completed   
72        1             3             2              14           1890-03-22  5           0           Completed   
73        4             1             2              5            1890-03-29  1           4           Completed   
74        1             2             2              1            1890-04-05  1           1           Completed   
75        4             3             2              5            1891-02-07  7           2           Completed   
76        2             3             2              15           1891-03-07  4           1           Completed   
77        2             4             2              16           1891-03-07  6           1           Completed   
78        3             1             2              3            1891-03-21  3           4           Completed   
79        1             4             2              1            1891-03-28  2           1           Completed   
80        2             1             2              4            1891-04-04  2           1           Completed   
81        3             4             2              17           1892-02-27  1           1           Completed   
82        4             2             2              5            1892-03-05  0           2           Completed   
83        3             2             2              3            1892-03-05  0           2           Completed   
84        4             1             2              5            1892-03-19  2           3           Completed   
85        1             3             2              11           1892-03-26  6           1           Completed   
86        1             2             2              1            1892-04-02  1           4           Completed   
87        2             4             2              18           1893-02-25  6           1           Completed   
88        2             3             2              12           1893-03-13  6           0           Completed   
89        3             1             2              3            1893-03-18  0           8           Completed   
90        1             4             2              1            1893-03-25  6           1           Completed   
91        2             1             2              19           1893-04-01  5           2           Completed   
92        3             4             2              20           1894-02-24  4           1           Completed   
93        4             2             2              5            1894-03-03  2           2           Completed   
94        3             2             2              3            1894-03-12  1           5           Completed   
95        1             3             2              21           1894-03-24  5           2           Completed   
96        4             1             2              5            1894-03-31  1           2           Completed   
97        1             2             2              1            1894-04-07  2           2           Completed   
98        2             4             2              22           1895-03-09  9           0           Completed   
99        4             3             2              5            1895-03-16  2           2           Completed   
100       2             3             2              2            1895-03-18  1           1           Completed   
